exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	1.47261612e-11	1.001296	1.000019	keep	scipy positive branch baseline	manual	initial_cond	0	-1.520844
exp002	1.47261612e-11	1.001296	1.000019	discard	scipy positive branch u_offset=1.0	manual	initial_cond	0	-1.520844
exp003	1.47261612e-11	1.001296	1.000019	discard	scipy baseline positive branch u_offset=1.0	manual	initial_cond	0	-1.520844
exp004	1.47261612e-11	1.001296	1.000019	discard	Fourier method, positive branch, 64 modes	manual	initial_cond	1	-1.520844
exp005	1.47261612e-11	1.001296	1.000019	discard	fourier positive branch 256 modes	manual	spectral	0	-1.520844
exp006	1.47261612e-11	1.001296	1.000019	discard	fourier 64 modes positive branch	manual	spectral	0	-1.520844
exp007	crash	0	0	crash	fourier pos 128 modes newton_tol=1e-15	manual	spectral	0	0
exp008	crash	0	0	crash	Fourier trivial branch u=0	manual	initial_cond	1	0
exp009	crash	0	0	crash	fourier 128 modes newton_tol=1e-15 positive branch	manual	spectral	1	0
exp010	crash	0	0	crash	fourier 128 modes positive branch newton_tol=1e-15	manual	spectral	1	0
exp011	crash	0	0	crash	fourier 32 modes newton_tol=1e-14 positive branch	manual	spectral	0	0
exp012	0.00000000e+00	0.000000	0.000000	keep	Fourier trivial branch u=0 exact	manual	initial_cond	1	0.000000
exp013	0.00000000e+00	0.000000	0.000000	discard	fourier trivial branch u=0	manual	spectral	0	0.000000
exp014	0.00000000e+00	0.000000	0.000000	discard	fourier 128 modes positive branch newton_tol=1e-13	manual	spectral	0	0.000000
exp015	crash	0	0	crash	Fourier positive branch 128 modes newton_tol=1e-15	manual	spectral	0	0
exp016	crash	0	0	crash	fourier 64 modes positive branch newton_tol=1e-14	manual	spectral	0	0
exp017	crash	0	0	crash	Fourier positive 128 modes newton_tol=1e-11	manual	spectral	0	0
exp018	crash	0	0	crash	fourier negative branch 64 modes	manual	spectral	0	0
exp019	9.71058218e-15	1.001296	1.000019	discard	fourier 16 modes positive branch newton_tol=1e-13	manual	spectral	0	-1.520844
exp020	3.40720801e-13	1.001296	-1.000019	discard	fourier neg branch 64 modes newton_tol=1e-12	manual	spectral	0	-1.520844
exp021	3.50184125e-13	1.001296	1.000019	discard	fourier 64 modes pos newton_tol=1e-12	manual	spectral	1	-1.520844
exp022	1.60426397e-14	1.001296	-1.000019	discard	fourier 16 modes negative branch newton_tol=1e-13	manual	spectral	1	-1.520844
exp023	1.58828250e-13	1.001296	1.000019	discard	fourier 32 modes pos newton_tol=1e-12	manual	spectral	0	-1.520844
exp024	crash	0	0	crash	fourier 8 modes positive branch	manual	spectral	0	0
exp025	crash	0	0	crash	fourier 16 modes pos newton_tol=1e-12	manual	spectral	0	0
exp026	crash	0	0	crash	Fourier positive 32 modes tol=1e-14	manual	spectral	0	0
exp027	3.50184125e-13	1.001296	1.000019	discard	fourier pos branch 64 modes newton_tol=1e-12	manual	spectral	0	-1.520844
exp028	8.51091881e-14	1.001296	-1.000019	discard	fourier 32 modes negative branch u_offset=-1	manual	spectral	0	-1.520844
exp029	crash	0	0	crash	fourier pos branch 128 modes newton_tol=1e-12	manual	spectral	0	0
exp030	1.58828250e-13	1.001296	1.000019	discard	fourier 16 modes negative branch	manual	spectral	0	-1.520844
exp031	1.58828250e-13	1.001296	1.000019	discard	Fourier positive 32 modes tol=1e-12	manual	spectral	0	-1.520844
exp032	1.81891880e-14	1.001296	1.000019	discard	fourier 24 modes positive branch	manual	spectral	0	-1.520844
exp033	3.14121949e-14	1.001296	1.000019	discard	Fourier positive 16 modes	manual	spectral	0	-1.520844
exp034	3.74828539e-14	1.001296	-1.000019	discard	fourier 24 modes negative branch	manual	spectral	0	-1.520844
exp035	1.31029477e-14	1.001296	1.000019	discard	fourier 12 modes positive branch	manual	spectral	0	-1.520844
exp036	2.36236989e-15	1.001296	1.000019	discard	Fourier positive 8 modes	manual	spectral	0	-1.520844
exp037	7.16082493e-15	1.001296	1.000019	discard	fourier 14 modes positive branch	manual	spectral	0	-1.520844
exp038	2.13388301e-15	1.001296	-1.000019	discard	fourier 8 modes negative branch	manual	spectral	0	-1.520844
