exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	0.00000000e+00	0.998999	-1.000000	keep	Trivial branch baseline (u_offset=0)	manual	initial_cond	0	-1.567655
exp002	0.00000000e+00	0.998999	-1.000000	discard	Trivial branch with u_offset=0.0	manual	initial_cond	0	-1.567655
exp003	0.00000000e+00	0.998999	-1.000000	discard	Trivial branch (u_offset=0), fourier_modes=128, amplitude=0.05	manual	initial_cond	0	-1.567655
exp004	6.46628843e-17	0.000000	-0.000000	discard	Trivial branch: u_offset=0.1, small amplitude	manual	trivial	0	-0.000000
exp005	6.46628843e-17	0.000000	-0.000000	discard	Positive branch: u_offset=0.9	manual	positive	0	-0.000000
exp006	crash	0	0	crash	Positive branch (u_offset=0.9), fourier_modes=128	manual	initial_cond	0	0
exp007	crash	0	0	crash	Trivial branch: u_offset=0.0, amplitude=0.0	manual	initial_cond	1	0
exp008	crash	0	0	crash	Trivial branch baseline (u_offset=0.0)	manual	initial_cond	1	0
exp009	crash	0	0	crash	Positive branch (u_offset=0.9), scipy method, n_nodes=300	manual	initial_cond	0	0
exp010	crash	0	0	crash	Trivial branch: u_offset=0.0, amplitude=0.1	manual	initial_cond	0	0
exp011	crash	0	0	crash	Trivial branch baseline (u_offset=0.0, relaxed tol)	manual	initial_cond	0	0
exp012	crash	0	0	crash	Positive branch (u_offset=0.9, amplitude=0.3), scipy	manual	initial_cond	1	0
exp013	crash	0	0	crash	Positive branch: higher modes, more Newton iters, u_offset=0.9	manual	positive	0	0
exp014	2.68591951e-07	1.002503	1.000218	discard	Positive branch (u_offset=0.9, amp=0.3, loose tol)	manual	initial_cond	0	-1.523848
exp015	2.94815390e-21	0.000000	-0.000000	discard	Trivial branch: u_offset=0.0, amplitude=0.1, fourier	manual	initial_cond	0	-0.000000
exp016	2.94815390e-21	0.000000	-0.000000	discard	Positive branch: scipy method, u_offset=0.9, amplitude=0.3	manual	positive	0	-0.000000
exp017	2.94815390e-21	0.000000	-0.000000	discard	Positive branch refined (n_nodes=300, tol=1e-10)	manual	initial_cond	0	-0.000000
exp018	crash	0	0	crash	Positive branch: u_offset=0.9, amplitude=0.1	manual	initial_cond	0	0
exp019	8.50398464e-12	1.001296	1.000019	discard	Positive branch: u_offset=0.9, smaller amplitude, looser tol	manual	initial_cond	0	-1.520844
exp020	crash	0	0	crash	Trivial branch (u_offset=0.0, amplitude=0.1)	haiku	initial_cond	0	0
exp021	8.50398464e-12	1.001296	1.000019	discard	Positive branch scipy (u_offset=0.9, amp=0.3, scipy, tol=1e-10)	manual	initial_cond	0	-1.520844
exp022	crash	0	0	crash	Trivial branch (u_offset=0.0, amplitude=0.0)	haiku	initial_cond	0	0
exp023	8.50398464e-12	1.001296	1.000019	discard	Negative branch scipy (u_offset=-0.9, amp=0.3)	manual	initial_cond	0	-1.520844
exp024	crash	0	0	crash	Positive: fourier_modes=128, K_mode=sine	manual	initial_cond	0	0
exp025	0.00000000e+00	0.000000	0.000000	discard	Trivial branch (u_offset=0.0, amplitude=0.0)	haiku	initial_cond	0	0.000000
exp026	crash	0	0	crash	Positive branch (u_offset=0.9)	haiku	initial_cond	0	0
exp027	crash	0	0	crash	Positive branch: sine K, fourier method, u_offset=0.9, amplitude=0.05	manual	positive	0	0
exp028	2.19909018e-10	1.001296	1.000019	discard	Positive: n_mode=2, cosine	manual	initial_cond	1	-1.520844
exp029	crash	0	0	crash	Positive branch (u_offset=0.95, amplitude=0.3)	haiku	initial_cond	0	0
exp030	8.51530051e-12	1.001296	1.000019	discard	Positive: fourier_modes=96, newton_tol=1e-8	manual	initial_cond	0	-1.520844
exp031	2.90509792e-13	1.001296	1.000019	discard	Positive: phase=π/2	manual	initial_cond	0	-1.520844
exp032	crash	0	0	crash	Negative branch (u_offset=-0.95)	haiku	initial_cond	1	0
exp033	5.30804901e-13	1.001296	1.000019	discard	Positive: phase=0.785	manual	initial_cond	0	-1.520844
exp034	2.90509792e-13	1.001296	1.000019	discard	Positive: phase=1.5708	manual	initial_cond	0	-1.520844
exp035	5.50821232e-13	1.001296	1.000019	discard	Positive: phase=2.3562	manual	initial_cond	0	-1.520844
exp036	3.11436155e-13	1.001296	1.000019	discard	Positive: phase=3.1416	manual	initial_cond	1	-1.520844
exp037	3.04783328e-13	1.001296	1.000019	discard	Positive: amp=0.01, phase=π/2	manual	initial_cond	1	-1.520844
exp038	3.11134851e-13	1.001296	1.000019	discard	Positive: amp=0.03, phase=π/2	manual	initial_cond	0	-1.520844
exp039	3.86928960e-13	1.001296	-1.000019	discard	Negative branch (u_offset=-0.95, relaxed tol)	haiku	initial_cond	0	-1.520844
exp040	2.90509792e-13	1.001296	1.000019	discard	Positive: amp=0.05, phase=π/2	manual	initial_cond	0	-1.520844
exp041	6.07488871e-13	1.001296	1.000019	discard	Positive: amp=0.07, phase=π/2	manual	initial_cond	1	-1.520844
exp042	5.33330679e-13	1.001296	1.000019	discard	Positive: amp=0.1, phase=π/2	manual	initial_cond	0	-1.520844
exp043	5.33330679e-13	1.001296	1.000019	discard	Positive: u_offset=0.9, phase=pi, fourier	manual	positive	0	-1.520844
exp044	2.47118674e-13	1.001296	1.000019	discard	Positive branch (u_offset=0.95, relaxed tol)	haiku	initial_cond	1	-1.520844
exp045	crash	0	0	crash	Positive: u_offset=0.9, phase=pi, fourier_modes=128, tight tol	manual	positive	1	0
exp046	2.94815390e-21	0.000000	-0.000000	discard	Trivial: baseline settings	manual	initial_cond	1	-0.000000
exp047	2.94815390e-21	0.000000	-0.000000	discard	Positive: u_offset=0.9, phase=pi, fourier_modes=80, tight tol	manual	positive	0	-0.000000
exp048	crash	0	0	crash	Negative: u_offset=-0.9, amp=0.05	manual	initial_cond	0	0
exp049	crash	0	0	crash	Negative branch verify (u_offset=-1.0, K_mode=sine, fourier)	manual	initial_cond	0	0
exp050	0.00000000e+00	0.998999	-1.000000	discard	Negative: workspace/manual settings	manual	initial_cond	0	-1.567655
exp051	2.85761141e-16	1.001508	-1.000025	discard	Negative: fourier_modes=2	manual	initial_cond	1	-1.520846
exp052	1.96261557e-16	1.001506	-1.000019	discard	Negative: fourier_modes=4	manual	initial_cond	0	-1.520769
exp053	crash	0	0	crash	Negative: fourier_modes=8	manual	initial_cond	0	0
exp054	crash	0	0	crash	Negative: fourier_modes=16	manual	initial_cond	0	0
exp055	crash	0	0	crash	Negative: fourier_modes=32	manual	initial_cond	1	0
exp056	crash	0	0	crash	Negative: fourier_modes=64	manual	initial_cond	0	0
exp057	crash	0	0	crash	Positive branch (fourier_modes=128)	haiku	initial_cond	0	0
exp058	0.00000000e+00	0.998999	-1.000000	discard	Negative: fourier_modes=1 confirm	manual	initial_cond	0	-1.567655
exp059	crash	0	0	crash	Positive (u_offset=0.95, amp=0.2, modes=128)	haiku	initial_cond	0	0
exp060	0.00000000e+00	0.998999	-1.000000	discard	Positive branch: fourier_modes=512, newton_tol=1e-15	manual	fourier_modes	0	-1.567655
exp061	2.98085610e-13	1.001296	1.000019	discard	Positive (u_offset=0.95, amp=0.2, modes=64)	haiku	initial_cond	0	-1.520844
exp062	crash	0	0	crash	Positive: u_offset=0.95, amp=0.12, fourier_modes=96, tight tol	manual	positive	1	0
exp063	crash	0	0	crash	Positive: scipy with 500 nodes, tol=1e-12	manual	mesh_refinement	1	0
exp064	crash	0	0	crash	Positive: u_offset=0.95, amp=0.12, fourier_modes=64, maxiter=250	manual	positive	0	0
exp065	crash	0	0	crash	Positive: K_mode=multipole, phase=π/2, newton_tol=1e-14	manual	initial_cond	1	0
exp066	crash	0	0	crash	Positive: fourier_modes=256, newton_tol=1e-14	manual	fourier_modes	0	0
exp067	crash	0	0	crash	Positive: u_offset=0.85, phase=π/2	manual	initial_cond	1	0
exp068	crash	0	0	crash	Positive: u_offset=0.90, phase=π/2	manual	initial_cond	0	0
exp069	crash	0	0	crash	Positive: u_offset=0.95, phase=π/2	manual	initial_cond	0	0
exp070	2.90509792e-13	1.001296	1.000019	discard	Positive (u_offset=0.9, amp=0.05, phase=π/2)	haiku	initial_cond	0	-1.520844
exp071	4.59798170e-13	1.001296	1.000019	discard	Positive: fourier_modes=80	manual	initial_cond	0	-1.520844
exp072	8.15720319e-13	1.001296	1.000019	discard	Positive: fourier_modes=96	manual	initial_cond	0	-1.520844
exp073	2.20265524e-12	1.001296	1.000019	discard	Positive: fourier_modes=128	manual	initial_cond	0	-1.520844
exp074	2.20265524e-12	1.001296	1.000019	discard	Positive: n_mode=2, amplitude=0.15	manual	initial_cond	1	-1.520844
exp075	0.00000000e+00	0.998999	-1.000000	discard	Negative (K_mode=sine, fourier_modes=1)	haiku	initial_cond	0	-1.567655
exp076	2.90509792e-13	1.001296	1.000019	discard	Positive: confirmed best config	manual	initial_cond	1	-1.520844
exp077	2.94815390e-21	0.000000	-0.000000	discard	Trivial branch optimized	haiku	initial_cond	0	-0.000000
exp078	0.00000000e+00	0.998999	-1.000000	discard	Negative: phase=0	manual	initial_cond	0	-1.567655
exp079	0.00000000e+00	0.998999	-1.000000	discard	Negative: phase=0.785	manual	initial_cond	1	-1.567655
exp080	0.00000000e+00	0.998999	-1.000000	discard	Negative: phase=1.5708	manual	initial_cond	0	-1.567655
exp081	0.00000000e+00	0.998999	-1.000000	discard	Negative: phase=3.14159	manual	initial_cond	0	-1.567655
exp082	0.00000000e+00	0.998999	-1.000000	discard	Negative: amplitude=0.05	manual	initial_cond	0	-1.567655
exp083	0.00000000e+00	0.998999	-1.000000	discard	Negative: amplitude=0.1	manual	initial_cond	0	-1.567655
exp084	0.00000000e+00	0.998999	-1.000000	discard	Negative: amplitude=0.15	manual	initial_cond	1	-1.567655
exp085	4.44089210e-16	0.998999	-1.000000	discard	Negative: amplitude=0.2	manual	initial_cond	0	-1.567655
exp086	0.00000000e+00	0.998999	-1.000000	discard	Negative: amplitude=0.3	manual	initial_cond	0	-1.567655
exp087	2.95784880e-13	1.001296	1.000019	discard	Positive: u_offset=0.90, amp=0.05, modes=60	manual	positive	0	-1.520844
exp088	3.98930464e-13	1.001296	1.000019	discard	Positive: u_offset=0.90, amp=0.05, modes=70	manual	positive	0	-1.520844
exp089	4.72116045e-13	1.001296	1.000019	discard	Positive: u_offset=0.90, amp=0.05, modes=80	manual	positive	1	-1.520844
exp090	2.70344648e-13	1.001296	1.000019	discard	Positive: u_offset=0.90, amp=0.10, modes=60	manual	positive	0	-1.520844
exp091	3.95229848e-13	1.001296	1.000019	discard	Positive: u_offset=0.90, amp=0.10, modes=70	manual	positive	0	-1.520844
exp092	5.07194397e-13	1.001296	1.000019	discard	Positive: u_offset=0.90, amp=0.10, modes=80	manual	positive	1	-1.520844
exp093	2.94815390e-21	0.000000	-0.000000	discard	Positive: u_offset=0.92, amp=0.05, modes=60	manual	positive	0	-0.000000
exp094	3.47824369e-13	1.001296	1.000019	discard	Trivial: phase=0	manual	initial_cond	0	-1.520844
exp095	crash	0	0	crash	Positive: u_offset=0.92, amp=0.05, modes=70	manual	positive	0	0
exp096	crash	0	0	crash	Trivial: phase=0.785	manual	initial_cond	0	0
