exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	0.00000000e+00	0.000000	0.000000	keep	trivial branch baseline: u_offset=0.0	manual	initial_cond	0	0.000000
exp002	0.00000000e+00	0.000000	0.000000	discard	Try positive branch with Fourier method	manual	initial_cond	0	0.000000
exp003	0.00000000e+00	0.000000	0.000000	discard	Trivial branch with fourier spectral solver	manual	trivial_branch	0	0.000000
exp004	0.00000000e+00	0.000000	0.000000	discard	positive branch baseline: u_offset=0.9	manual	initial_cond	0	0.000000
exp005	0.00000000e+00	0.000000	0.000000	discard	positive branch: u_offset=0.9, amplitude=0.3	manual	initial_cond	0	0.000000
exp006	0.00000000e+00	0.000000	0.000000	discard	Positive branch: u_offset=0.9, amplitude=0.3, Fourier method	manual	initial_cond	0	0.000000
exp007	0.00000000e+00	0.000000	0.000000	discard	Positive branch u_offset=0.9 amplitude=0.3	manual	positive_branch	0	0.000000
exp008	crash	0	0	crash	Positive branch: u_offset=0.9, amplitude=0.5 (max)	manual	initial_cond	0	0
exp009	crash	0	0	crash	Positive branch with strong amplitude	manual	initial_cond	0	0
exp010	crash	0	0	crash	Positive branch: scipy, u_offset=0.9, amplitude=0.5	manual	initial_cond	0	0
exp011	crash	0	0	crash	Positive branch u_offset=0.9 amplitude=0.2	manual	positive_branch	1	0
exp012	crash	0	0	crash	Positive branch with moderate amplitude and more iterations	manual	initial_cond	1	0
exp013	crash	0	0	crash	Positive branch u_offset=0.9 amplitude=0.2	manual	positive_branch	0	0
exp014	8.81934685e-11	1.002503	1.000218	discard	Positive branch with scipy solver	manual	initial_cond	0	-1.523848
exp015	8.81934685e-11	1.002503	1.000218	discard	Positive branch attempt: u_offset=0.95, amplitude=0.25, scipy	manual	initial_cond	0	-1.523848
exp016	crash	0	0	crash	Negative branch attempt: u_offset=-0.95, amplitude=0.25, scipy	manual	initial_cond	1	0
exp017	crash	0	0	crash	Positive branch fourier 128 modes maxiter=300	manual	positive_branch	1	0
exp018	crash	0	0	crash	Test negative branch with current config	manual	initial_cond	0	0
exp019	8.81934685e-11	1.002503	-1.000218	discard	Negative branch with scipy solver	manual	initial_cond	0	-1.523848
exp020	8.81934685e-11	1.002503	-1.000218	discard	Negative branch attempt: u_offset=-0.95, amplitude=0.25, scipy	manual	initial_cond	0	-1.523848
exp021	7.78244459e-12	1.002503	1.000218	discard	Positive branch scipy u_offset=0.95	manual	positive_branch	0	-1.523848
exp022	7.78244459e-12	1.002503	-1.000218	discard	Optimize positive branch: tighter solver_tol=1e-11, n_nodes=150	manual	initial_cond	0	-1.523848
exp023	7.78244459e-12	1.002503	-1.000218	discard	Negative branch scipy u_offset=-0.95	manual	negative_branch	1	-1.523848
exp024	crash	0	0	crash	Tighter tolerance: solver_tol=1e-12	manual	initial_cond	0	0
exp025	7.78244459e-12	1.002503	-1.000218	discard	negative branch: u_offset=-0.95, amplitude=0.3, scipy	manual	initial_cond	0	-1.523848
exp026	5.62802405e-12	1.002503	-1.000218	discard	Higher resolution: n_nodes=250	manual	initial_cond	0	-1.523848
exp027	3.25175165e-12	1.002503	-1.000218	discard	Higher resolution: n_nodes=300	manual	initial_cond	0	-1.523848
exp028	crash	0	0	crash	positive branch optimization: higher precision (n_nodes=200, solver_tol=1e-12)	manual	initial_cond	1	0
exp029	crash	0	0	crash	Positive branch: u_offset=0.95, n_nodes=200, solver_tol=1e-12	manual	initial_cond	0	0
exp030	5.62802405e-12	1.002503	1.000218	discard	Positive branch with n_nodes=300	manual	positive_branch	0	-1.523848
exp031	5.62802405e-12	1.002503	1.000218	discard	Positive branch optimization: n_nodes=250, solver_tol=1e-12	manual	initial_cond	0	-1.523848
exp032	1.89688828e-12	1.002503	1.000218	discard	positive branch: n_nodes=180	manual	initial_cond	0	-1.523848
exp033	1.89688828e-12	1.002503	1.000218	discard	Positive branch with n_nodes=400	manual	positive_branch	0	-1.523848
exp034	crash	0	0	crash	Positive branch: u_offset=0.95, n_nodes=180, solver_tol=1e-11	manual	initial_cond	0	0
exp035	1.89688828e-12	1.002503	-1.000218	discard	negative branch: n_nodes=180, solver_tol=1e-11	manual	initial_cond	0	-1.523848
exp036	crash	0	0	crash	Positive branch: n_nodes=300 for better accuracy	manual	initial_cond	1	0
exp037	crash	0	0	crash	Positive branch with n_nodes=500 tol=1e-12	manual	positive_branch	1	0
exp038	1.89688828e-12	1.002503	-1.000218	discard	Positive with n_nodes=500 tol=1e-11	manual	positive_branch	0	-1.523848
exp039	9.99977750e-12	1.002503	1.000218	discard	positive: amplitude=0.2, n_nodes=200	manual	initial_cond	0	-1.523848
exp040	9.99840186e-12	1.002503	1.000218	discard	Best positive branch: n_nodes=400 residual=1.9e-12	manual	positive_branch	0	-1.523848
exp041	1.61194531e-12	1.002503	1.000218	discard	positive: n_nodes=190	manual	initial_cond	0	-1.523848
exp042	1.49151571e-12	1.002503	1.000218	discard	Positive amplitude=0.25 n_nodes=400	manual	positive_branch	0	-1.523848
exp043	1.49151571e-12	1.002503	1.000218	discard	positive: n_nodes=195	manual	initial_cond	0	-1.523848
exp044	crash	0	0	crash	positive: n_nodes=197	manual	initial_cond	0	0
exp045	crash	0	0	crash	Positive amplitude=0.2 n_nodes=400	manual	positive_branch	0	0
exp046	crash	0	0	crash	Positive branch with n_nodes=270, tighter tolerance	manual	initial_cond	0	0
exp047	1.47161968e-12	1.002503	1.000218	discard	Positive amplitude=0.25 n_nodes=600	manual	positive_branch	1	-1.523848
exp047	1.47161968e-12	1.002503	1.000218	discard	positive: n_nodes=196	manual	initial_cond	1	-1.523848
exp048	crash	0	0	crash	Negative branch with n_nodes=300	manual	initial_cond	1	0
exp049	crash	0	0	crash	Positive branch: n_nodes=196 optimization	manual	initial_cond	1	0
exp050	9.99970257e-12	1.002503	1.000218	discard	Positive amplitude=0.25 n_nodes=800	manual	positive_branch	0	-1.523848
exp051	1.47161968e-12	1.002503	-1.000218	discard	negative: n_nodes=196, amplitude=0.3	manual	initial_cond	0	-1.523848
exp052	2.03763805e-12	1.002503	1.000218	discard	Negative branch n_nodes=260, solver_tol=1e-11	manual	initial_cond	0	-1.523848
exp053	2.03763805e-12	1.002503	1.000218	discard	Positive n_nodes=700	manual	positive_branch	0	-1.523848
exp054	1.47161968e-12	1.002503	1.000218	discard	Positive branch: n_mode=2, amplitude=0.3	manual	initial_cond	1	-1.523848
exp055	1.47161968e-12	1.002503	1.000218	discard	positive: amplitude=0.35, n_nodes=196	manual	initial_cond	1	-1.523848
exp056	5.00149461e-12	1.002503	1.000218	discard	Positive branch n_nodes=260, solver_tol=1e-11	manual	initial_cond	0	-1.523848
exp056	5.00149461e-12	1.002503	1.000218	discard	Negative amplitude=0.25 n_nodes=600	manual	negative_branch	0	-1.523848
exp057	1.47161968e-12	1.002503	1.000218	discard	positive: u_offset=0.90	manual	initial_cond	1	-1.523848
exp058	1.47161968e-12	1.002503	1.000218	discard	positive: u_offset=0.93	manual	initial_cond	0	-1.523848
exp059	3.23551195e-12	1.002503	-1.000218	discard	positive: u_offset=0.97	manual	initial_cond	0	-1.523848
exp060	3.23551195e-12	1.002503	-1.000218	discard	Positive branch n_nodes=280, solver_tol=1e-11	manual	initial_cond	0	-1.523848
exp061	1.47161968e-12	1.002503	1.000218	discard	Negative amplitude=0.35 n_nodes=600	manual	negative_branch	0	-1.523848
exp062	1.47161968e-12	1.002503	1.000218	discard	positive: u_offset=1.00	manual	initial_cond	0	-1.523848
exp063	4.00125878e-12	1.002503	-1.000218	discard	positive: solver_tol=1.0e-11	manual	initial_cond	1	-1.523848
exp064	4.00125878e-12	1.002503	-1.000218	discard	Negative branch n_nodes=280, solver_tol=1e-11	manual	initial_cond	0	-1.523848
exp065	1.17174618e-11	1.002503	1.000218	discard	positive: solver_tol=1.5e-11	manual	initial_cond	0	-1.523848
exp066	1.17174618e-11	1.002503	1.000218	discard	positive: solver_tol=2.0e-11	manual	initial_cond	0	-1.523848
exp067	1.17174618e-11	1.002503	1.000218	discard	Positive branch: u_offset=1.0, n_nodes=196	manual	initial_cond	1	-1.523848
exp068	1.17174618e-11	1.002503	1.000218	discard	Negative amplitude=0.4 phase=π n_nodes=600	manual	negative_branch	0	-1.523848
exp069	4.46439053e-12	1.002503	-1.000218	discard	Negative branch n_nodes=270, solver_tol=1e-11 (repeat)	manual	initial_cond	0	-1.523848
exp070	4.46439053e-12	1.002503	-1.000218	discard	Positive branch: solver_tol=2.0e-11, n_nodes=196	manual	initial_cond	1	-1.523848
exp071	5.00149461e-12	1.002503	1.000218	discard	Positive branch n_nodes=260, solver_tol=1e-11 (retry)	manual	initial_cond	0	-1.523848
exp072	3.23551195e-12	1.002503	-1.000218	discard	positive: n_mode=2	manual	initial_cond	0	-1.523848
exp073	1.47161968e-12	1.002503	1.000218	discard	Negative n_mode=2 amplitude=0.4	manual	negative_branch	0	-1.523848
exp074	1.47161968e-12	1.002503	1.000218	discard	positive: n_mode=3	manual	initial_cond	0	-1.523848
