exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	0.00000000e+00	0.000000	0.000000	keep	Fourier spectral, positive branch u_offset=0.9	manual	initial_cond	0	0.000000
exp002	0.00000000e+00	0.000000	0.000000	discard	Trivial branch u=0 fourier spectral	manual	initial_cond	0	0.000000
exp003	crash	0	0	crash	Positive branch u~+1 fourier N=64	manual	initial_cond	0	0
exp004	crash	0	0	crash	Fourier spectral, positive branch u_offset=0.9	manual	fourier_branch	0	0
exp005	crash	0	0	crash	Positive branch fourier N=64 maxiter=200	manual	initial_cond	0	0
exp006	crash	0	0	crash	Fourier spectral, positive branch, 200 Newton iters	manual	fourier_branch	0	0
exp007	crash	0	0	crash	Positive branch u~+1, Fourier N=128, tol=1e-12	manual	fourier_spectral	0	0
exp008	7.81886831e-13	1.001296	1.000019	discard	Positive branch N=64 tol=1e-11	manual	fourier_spectral	1	-1.520844
exp009	5.49919191e-13	1.001296	-1.000019	discard	Negative branch u~-1 N=64 tol=1e-11	manual	fourier_spectral	0	-1.520844
exp010	5.49919191e-13	1.001296	-1.000019	discard	Negative branch u~-1 fourier N=64 tol=1e-11	manual	initial_cond	0	-1.520844
exp011	4.09876209e-14	1.001296	1.000019	discard	Positive branch N=32 tol=1e-13, smaller matrix	manual	fourier_spectral	1	-1.520844
exp012	5.07745955e-15	1.001296	1.000019	discard	Positive branch N=16 tol=1e-14, tiny matrix	manual	fourier_spectral	0	-1.520844
exp013	3.36441000e-15	1.001296	1.000019	discard	Positive branch N=8 tol=1e-14, minimal matrix	manual	fourier_spectral	1	-1.520844
exp014	2.06774381e-16	1.001296	1.000019	discard	Positive branch N=4 tol=1e-14	manual	fourier_spectral	0	-1.520844
exp015	2.00148302e-16	1.001298	1.000025	discard	Positive branch N=2 modes, minimal	manual	fourier_spectral	1	-1.520921
exp016	2.57581612e-16	1.001296	-1.000019	discard	Negative branch N=4 tol=1e-14, near machine precision	manual	initial_cond	0	-1.520844
exp017	2.00148302e-16	1.001298	-1.000025	discard	Negative branch N=2 modes machine precision	manual	initial_cond	0	-1.520921
exp018	6.06290198e-16	1.001296	1.000019	discard	Positive branch N=3 modes	agent_idb	fourier_spectral	1	-1.520844
exp019	1.57009246e-16	1.001322	1.000049	discard	Positive branch N=1 modes sweep	agent_idb	fourier_spectral	0	-1.520921
exp020	1.52391128e-15	1.001296	1.000019	discard	Positive branch N=5 modes sweep	agent_idb	fourier_spectral	0	-1.520844
exp021	1.01765301e-15	1.001296	1.000019	discard	Positive branch N=6 modes sweep	agent_idb	fourier_spectral	0	-1.520844
exp022	1.89920454e-15	1.001296	1.000019	discard	Positive branch u_offset=1 amp=0 N=4	agent_idb	fourier_spectral	0	-1.520844
exp023	1.57009246e-16	1.001322	1.000049	discard	Positive branch N=1 mode minimal	manual	initial_cond	0	-1.520921
exp024	2.00148302e-16	1.001298	-1.000025	discard	Negative branch N=2 modes, minimal matrix, expecting ~2e-16	agent_b	fourier_spectral	0	-1.520921
exp025	5.55111512e-17	1.001322	-1.000049	discard	Negative branch N=1 mode, DC+Nyquist only	agent_b	fourier_spectral	1	-1.520921
exp026	5.55111512e-17	1.001322	-1.000049	discard	Negative branch N=1 mode minimal	manual	initial_cond	1	-1.520921
exp027	2.57581612e-16	1.001296	1.000019	discard	Positive N=4 u=1 amp=0.05	agent_idb	fourier_spectral	0	-1.520844
exp028	2.06774381e-16	1.001296	1.000019	discard	Positive N=4 u=1 amp=0.15	agent_idb	fourier_spectral	0	-1.520844
exp029	6.01806552e-16	1.001296	1.000019	discard	Positive N=4 u=1 amp=0.2	agent_idb	fourier_spectral	0	-1.520844
exp030	1.57009246e-16	1.001322	1.000049	discard	Positive branch N=1 mode, 2-point grid	agent_b	fourier_spectral	0	-1.520921
exp031	5.55111512e-17	1.001322	-1.000049	discard	Negative branch N=1 modes	agent_idb	fourier_spectral	0	-1.520921
