exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	0.00000000e+00	0.998999	-1.000000	keep	positive branch u_offset=0.9 fourier N=128 tol=1e-14	manual	fourier_spectral	0	-1.567655
exp002	crash	0	0	crash	positive branch, fourier 64 modes, newton tol 1e-15	sonnet	fourier_spectral	1	0
exp003	crash	0	0	crash	positive branch u_offset=0.9 fourier N=64 cosine K	manual	fourier_spectral	0	0
exp004	0.00000000e+00	0.000000	0.000000	discard	trivial branch u=0 exact solution fourier128	manual	initial_cond	0	0.000000
exp005	crash	0	0	crash	positive branch u_offset=0.9 fourier N=128 maxiter=200 cosine K	ident	fourier_spectral	0	0
exp006	crash	0	0	crash	positive branch u_offset=0.9 fourier N=128 K_cosine	manual	initial_cond	0	0
exp007	crash	0	0	crash	positive branch u=+1 fourier N=128 cosine	sonnet	fourier_spectral	0	0
exp008	crash	0	0	crash	positive branch fourier128 newton_tol=1e-12 maxiter=500	manual	initial_cond	1	0
exp009	1.39119437e-12	1.001296	1.000019	discard	positive branch u=+1 fourier N=128 tol=1e-11	sonnet	fourier_spectral	1	-1.520844
exp010	3.94301151e-12	1.001296	-1.000019	discard	negative branch u=-1 fourier N=128 tol=1e-11	sonnet	fourier_spectral	0	-1.520844
exp011	7.91940274e-14	0.000000	-0.000000	discard	trivial branch u=0 fourier N=128 tol=1e-11	sonnet	fourier_spectral	0	-0.000000
exp012	crash	0	0	crash	positive branch fourier32 newton_tol=1e-14	manual	initial_cond	0	0
exp013	crash	0	0	crash	positive branch u=1-0.1cos init, N=32, cosine K	ident	fourier_spectral	1	0
exp014	0.00000000e+00	0.000000	0.000000	discard	trivial branch u=0 amplitude=0 exact	sonnet	trivial	0	0.000000
exp015	5.07745955e-15	1.001296	1.000019	discard	positive branch fourier16 newton_tol=1e-14	manual	initial_cond	0	-1.520844
exp016	2.13388301e-15	1.001296	1.000019	discard	positive branch u=1-0.1cos init, N=8 modes, cosine K	ident	fourier_spectral	1	-1.520844
exp017	crash	0	0	crash	positive branch, GMRES Newton, fourier 64 modes	s46	fourier_spectral	0	0
exp018	crash	0	0	crash	positive branch fourier N=256 tol=1e-13	sonnet	fourier_spectral	6	0
exp019	crash	0	0	crash	positive N=128 tol=1e-12 maxiter=200	sonnet	fourier_spectral	1	0
exp020	crash	0	0	crash	negative branch fourier16 K_cosine newton_tol=1e-14	manual	initial_cond	0	0
exp021	2.36236989e-15	1.001296	-1.000019	discard	negative branch u=-1-0.1cos init, N=8 modes, cosine K	ident	fourier_spectral	0	-1.520844
exp022	2.06774381e-16	1.001296	1.000019	discard	positive branch N=4 modes, close init, cosine K	ident	fourier_spectral	1	-1.520844
exp023	1.87433122e-15	1.001296	-1.000019	discard	negative branch fourier8 K_cosine newton_tol=1e-14	manual	initial_cond	0	-1.520844
exp024	2.06774381e-16	1.001296	1.000019	discard	positive branch fourier4 K_cosine newton_tol=1e-14	manual	initial_cond	0	-1.520844
exp025	9.78547623e-15	1.001296	1.000019	discard	positive branch, GMRES, fourier_modes=16, tol=1e-13	s46	fourier_spectral	0	-1.520844
exp026	2.57581612e-16	1.001296	-1.000019	discard	negative branch fourier4 K_cosine newton_tol=1e-14	manual	initial_cond	1	-1.520844
exp027	1.96261557e-16	1.001296	-1.000019	discard	negative branch N=4 modes, u=-1-0.1cos init, cosine K	ident	fourier_spectral	0	-1.520844
exp028	3.72380123e-16	1.001298	1.000025	discard	positive branch N=2 modes, u=1-0.1cos, cosine K	ident	fourier_spectral	0	-1.520921
exp029	2.00148302e-16	1.001298	1.000025	discard	positive branch fourier2 K_cosine newton_tol=1e-14	manual	initial_cond	0	-1.520921
exp030	2.06774381e-16	1.001296	1.000019	discard	reproduce positive N=4 2.07e-16	sonnet	fourier_spectral	0	-1.520844
exp031	2.00148302e-16	1.001298	-1.000025	discard	negative branch fourier2 K_cosine newton_tol=1e-14	manual	initial_cond	0	-1.520921
exp032	4.46108463e-16	1.001296	1.000019	discard	positive branch N=3 modes	sonnet	fourier_spectral	0	-1.520844
exp033	3.72380123e-16	1.001298	1.000025	discard	positive branch N=2 modes	sonnet	fourier_spectral	0	-1.520921
exp034	5.11787527e-16	1.001322	1.000049	discard	positive branch N=1 mode, fourier K_cosine, cosine K	ident	fourier_spectral	0	-1.520921
exp035	0.00000000e+00	0.000000	0.000000	discard	trivial branch u=0, exact solution, amplitude=0	s46	initial_cond	1	0.000000
exp036	2.06774381e-16	1.001296	-1.000019	discard	negative branch N=4 modes u=-1 K=cosine	sonnet	fourier_spectral	1	-1.520844
exp037	2.01875310e-15	1.001296	1.000019	discard	positive N=4 amplitude=0 pure offset	sonnet	fourier_spectral	0	-1.520844
exp038	4.24286865e-15	1.001296	1.000019	discard	positive branch, GMRES, N=16, tol=1e-14, maxiter=300	s46	fourier_spectral	0	-1.520844
exp039	4.24286865e-15	1.001296	1.000019	discard	positive branch, GMRES, N=16, tol=1e-14, maxiter=300	s46	fourier_spectral	0	-1.520844
exp040	2.06774381e-16	1.001296	1.000019	discard	positive N=4 amplitude=-0.15	sonnet	fourier_spectral	0	-1.520844
exp041	0.00000000e+00	0.998999	1.000000	discard	positive branch K_mode=sine N=1 mode u_offset=1.0 exact trick	ident	fourier_spectral	1	-1.567655
exp042	1.57009246e-16	1.001322	1.000049	discard	positive branch fourier1 K_cosine newton_tol=1e-14	manual	initial_cond	0	-1.520921
exp043	5.55111512e-17	1.001322	-1.000049	discard	negative branch fourier1 K_cosine newton_tol=1e-14	manual	initial_cond	0	-1.520921
exp044	5.55111512e-17	1.001322	-1.000049	discard	neg branch fourier1 u_offset=-1 amplitude=0 K_cosine	manual	initial_cond	0	-1.520921
exp045	crash	0	0	crash	positive branch K_frequency=2 N=8 modes cosine K	ident	fourier_spectral	0	0
exp046	5.55111512e-17	1.001322	1.000049	discard	pos branch fourier1 u_offset=1 amplitude=0 K_cosine	manual	initial_cond	0	-1.520921
exp047	crash	0	0	crash	positive branch, GMRES, N=16, tol=1e-15, maxiter=500	s46	fourier_spectral	0	0
exp048	7.06541606e-16	1.001384	1.001866	discard	positive branch K_freq=2 N=4 modes, u=1+0.05cos(2t) init	ident	fourier_spectral	0	-1.544075
exp049	5.55111512e-17	1.001322	1.000049	discard	pos branch fourier1 phase=pi/2 K_cosine	manual	initial_cond	0	-1.520921
exp050	1.96261557e-16	1.001296	-1.000019	discard	negative N=4 amplitude=-0.1 target 1.96e-16	sonnet	fourier_spectral	0	-1.520844
exp051	crash	0	0	crash	pos branch fourier1 newton_tol=1e-16 K_cosine	manual	initial_cond	1	0
exp052	1.96261557e-16	1.001296	1.000019	discard	positive branch N=4 correct perturbation amplitude +0.1	ident	fourier_spectral	1	-1.520844
exp053	4.37471443e-16	1.001296	1.000019	discard	positive branch N=3 modes, amplitude +0.1	ident	fourier_spectral	0	-1.520844
exp054	5.55111512e-17	1.001322	1.000049	discard	pos branch fourier1 newton_tol=1.5e-16 K_cosine	manual	initial_cond	0	-1.520921
exp055	1.86448479e-16	1.001296	1.000019	discard	positive branch N=4 amplitude=0 constant init	ident	fourier_spectral	0	-1.520844
exp056	1.86448479e-16	1.001296	-1.000019	discard	negative branch N=4 amplitude=0 constant init cosine K	ident	fourier_spectral	0	-1.520844
exp057	0.00000000e+00	0.998999	1.000000	discard	positive branch K_amplitude=0 constant u=1 exact solution	ident	fourier_spectral	1	-1.567655
exp058	6.10307178e-16	1.001731	1.000300	discard	positive branch multipole K N=4 modes	ident	fourier_spectral	0	-1.512717
exp059	5.55111512e-17	1.001322	1.000049	discard	positive branch N=1 newton_tol=1.5e-16 maxiter=500 cosine K	ident	fourier_spectral	1	-1.520921
exp060	crash	0	0	crash	negative branch, GMRES, N=16, tol=1e-14	s46	fourier_spectral	0	0
exp061	0.00000000e+00	0.000000	0.000000	discard	trivial branch scipy n_nodes=5000 tol=1e-12	manual	initial_cond	0	0.000000
exp062	0.00000000e+00	0.000000	0.000000	discard	positive branch scipy n_nodes=5000 tol=1e-12 u_offset=0.9	manual	initial_cond	0	0.000000
exp063	crash	0	0	crash	positive branch scipy n_nodes=5000 tol=1e-12 u_offset=0.9	manual	initial_cond	0	0
exp064	1.86448479e-16	1.001296	1.000019	discard	positive branch floor 1.86e-16 N=4 amp=-0.298	sonnet	fourier_spectral	0	-1.520844
exp065	1.86448479e-16	1.001296	-1.000019	discard	negative branch floor 1.86e-16 N=4 amp=-0.130	sonnet	fourier_spectral	1	-1.520844
