exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	9.99978354e-12	1.002503	1.000218	keep	positive branch baseline, u_offset=0.9	agent0	initial_cond	0	-1.523848
exp002	9.99978354e-12	1.002503	-1.000218	discard	negative branch baseline, u_offset=-0.9	agent0	initial_cond	1	-1.523848
exp003	9.99978354e-12	1.002503	1.000218	discard	positive branch baseline u_offset=0.9	agent1	initial_cond	1	-1.523848
exp004	0.00000000e+00	0.000000	0.000000	keep	trivial branch u_offset=0.0	agent1	initial_cond	0	0.000000
exp005	0.00000000e+00	0.000000	0.000000	discard	trivial branch baseline, u_offset=0.0	agent0	initial_cond	0	0.000000
exp006	9.99978354e-12	1.002503	-1.000218	discard	negative branch u_offset=-0.9	agent1	initial_cond	0	-1.523848
exp007	crash	0	0	crash	positive branch u_offset=0.95 solver_tol=1e-13 n_nodes=300	agent1	solver_param	0	0
exp008	crash	0	0	crash	positive branch, n_nodes=300, solver_tol=1e-12	agent0	solver_param	0	0
exp009	crash	0	0	crash	positive branch u_offset=1.0 solver_tol=1e-12	agent1	solver_param	0	0
exp010	crash	0	0	crash	positive branch, Fourier spectral N=64	agent0	branch_search	0	0
exp011	crash	0	0	crash	positive branch via Fourier spectral method fourier_modes=64	agent1	solver_param	0	0
exp012	3.35317020e-13	1.001296	1.000019	discard	Fourier N=64 with perturbation amp=0.1, newton_tol=1e-12	agent0	branch_search	0	-1.520844
exp013	crash	0	0	crash	positive branch Fourier 128 modes 200 Newton iters	agent1	solver_param	30	0
exp014	5.71169075e-13	1.001296	1.000019	discard	positive branch Fourier 64 modes newton_tol=1e-11	agent1	solver_param	0	-1.520844
exp015	3.26527837e-13	1.001296	1.000019	discard	positive branch Fourier 64 modes newton_tol=1e-12	agent1	solver_param	1	-1.520844
exp016	crash	0	0	crash	Fourier N=96, amp=0.1, newton_tol=1e-14	agent0	branch_search	0	0
exp017	crash	0	0	crash	positive branch Fourier 64 modes newton_tol=1e-13	agent1	solver_param	0	0
exp018	crash	0	0	crash	Fourier N=64, linearized IC u=1.0+0.1cos, newton_tol=1e-15	agent0	initial_cond	1	0
exp019	1.50766724e-13	1.001296	1.000019	discard	positive branch Fourier 32 modes u_offset=1.0 amp=0.1	agent1	solver_param	0	-1.520844
exp020	crash	0	0	crash	Fourier N=64, u=1.0+0.1cos, newton_tol=1e-13	agent0	initial_cond	0	0
exp021	4.26763443e-14	1.001296	1.000019	discard	positive branch Fourier 32 modes newton_tol=1e-13	agent1	solver_param	0	-1.520844
exp022	crash	0	0	crash	positive branch Fourier 32 modes newton_tol=1e-14	agent1	solver_param	1	0
exp023	crash	0	0	crash	Fourier N=32, u_offset=0.9, amp=0.1, tol=1e-14	agent0	branch_search	0	0
exp024	crash	0	0	crash	positive branch Fourier 16 modes newton_tol=1e-14	agent1	solver_param	0	0
exp025	7.59794847e-14	1.001296	1.000019	discard	Fourier N=32, newton_tol=2e-13 to allow convergence	agent0	branch_search	0	-1.520844
exp026	1.33550923e-14	1.001296	1.000019	discard	positive branch Fourier 16 modes newton_tol=5e-14	agent1	solver_param	0	-1.520844
exp027	crash	0	0	crash	Fourier N=16, newton_tol=1e-14	agent0	branch_search	0	0
exp028	1.02323070e-14	1.001296	1.000019	discard	positive branch Fourier 8 modes newton_tol=5e-14	agent1	solver_param	0	-1.520844
exp029	1.44525674e-14	1.001296	1.000019	discard	Fourier N=16, newton_tol=3e-14	agent0	branch_search	0	-1.520844
exp030	8.69901540e-15	1.001296	1.000019	discard	positive branch Fourier 4 modes newton_tol=5e-14	agent1	solver_param	0	-1.520844
exp031	9.32144735e-15	1.001296	1.000019	discard	positive branch Fourier 3 modes newton_tol=5e-14	agent1	solver_param	0	-1.520844
exp032	2.37755119e-15	1.001296	1.000019	discard	Fourier N=8, newton_tol=1e-14	agent0	branch_search	0	-1.520844
exp033	2.06774381e-16	1.001296	1.000019	discard	Fourier N=4, newton_tol=1e-14	agent0	branch_search	1	-1.520844
exp034	2.81345170e-14	1.001298	1.000025	discard	positive branch Fourier 2 modes newton_tol=5e-14	agent1	solver_param	1	-1.520921
exp035	6.06290198e-16	1.001296	1.000019	discard	Fourier N=3, newton_tol=1e-14	agent0	branch_search	1	-1.520844
exp036	1.96261557e-16	1.001296	1.000019	discard	positive branch Fourier 4 modes newton_tol=1e-14	agent1	solver_param	1	-1.520844
exp037	1.96261557e-16	1.001296	1.000019	discard	positive branch Fourier 4 modes newton_tol=1e-15	agent1	solver_param	0	-1.520844
exp038	2.06774381e-16	1.001296	1.000019	discard	Fourier N=4, newton_tol=1e-15, 200 iter	agent0	branch_search	0	-1.520844
exp039	2.57581612e-16	1.001296	-1.000019	discard	Fourier N=4, negative branch u_offset=-0.9	agent0	branch_search	1	-1.520844
exp040	3.62021453e-16	1.001296	-1.000019	discard	negative branch Fourier 4 modes newton_tol=1e-14 u_offset=-1.0	agent1	solver_param	1	-1.520844
exp041	4.99600361e-16	1.001296	-1.000019	discard	large oscillation u=1.2cos, searching for heteroclinic	agent0	branch_search	0	-1.520844
exp042	2.11974729e-15	1.001296	-1.000019	discard	mode-2 perturbation u=0.5+0.5cos(2t), N=8	agent0	branch_search	0	-1.520844
exp043	2.73184526e-16	1.001296	-1.000019	discard	mode-2 perturbation amp=0.5 u_offset=0.5 searching for heteroclinic	agent1	branch_search	0	-1.520844
exp044	1.24246361e-14	1.001296	1.000019	discard	step-like IC u=1.5cos, searching heteroclinic, N=16	agent0	branch_search	0	-1.520844
exp045	1.10752491e-23	0.000000	0.000000	discard	large cos oscillation centered at 0, amp=0.5, searching for heteroclinic	agent1	branch_search	1	0.000000
exp046	2.09614326e-15	1.001296	-1.000019	discard	basin map: u_offset=0.5, which branch?	agent0	branch_search	1	-1.520844
exp047	9.20534265e-15	1.001296	1.000019	discard	amp=1.0 cos(theta) centered at 0, hunting heteroclinic connection	agent1	branch_search	0	-1.520844
exp048	2.06774381e-16	1.001296	1.000019	discard	basin map: u_offset=0.7	agent0	branch_search	0	-1.520844
exp049	2.01739445e-21	0.000000	-0.000000	discard	mode-2 amp=1.5 centered at 0, large oscillation cos(2theta)	agent1	branch_search	0	-0.000000
exp050	1.96261557e-16	1.001296	1.000019	discard	basin map: u_offset=0.6	agent0	branch_search	1	-1.520844
exp051	1.27099500e-14	1.001296	1.000019	discard	mode-3 amp=0.5 u_offset=0.3 searching for non-standard branch	agent1	branch_search	0	-1.520844
exp052	6.34216421e-16	1.001296	-1.000019	discard	basin map: u_offset=0.55	agent0	branch_search	1	-1.520844
exp053	2.06774381e-16	1.001296	1.000019	discard	basin map: u_offset=0.575	agent0	branch_search	0	-1.520844
exp054	3.52178773e-16	1.001296	-1.000019	discard	basin map: u_offset=0.5625	agent0	branch_search	0	-1.520844
exp055	2.57581612e-16	1.001296	-1.000019	discard	basin boundary refinement u_offset=0.575	agent1	branch_search	0	-1.520844
exp056	2.57581612e-16	1.001296	-1.000019	discard	basin map: u_offset=0.57	agent0	branch_search	1	-1.520844
exp057	2.02539645e-15	1.001296	1.000019	discard	basin boundary u_offset=0.59	agent1	branch_search	0	-1.520844
exp058	6.62727941e-16	1.001296	-1.000019	discard	basin map: u_offset=0.573	agent0	branch_search	0	-1.520844
exp059	7.20108768e-16	1.001296	-1.000019	discard	basin boundary u_offset=0.58	agent1	branch_search	1	-1.520844
exp060	1.96261557e-16	1.001296	1.000019	discard	basin map: u_offset=0.574	agent0	branch_search	1	-1.520844
exp061	2.04903081e-16	1.001296	-1.000019	discard	basin boundary u_offset=0.585	agent1	branch_search	0	-1.520844
exp062	1.88860805e-21	0.000000	-0.000000	discard	scipy: u_offset=0, amp=0.5, mode-2, seeking 4th branch	agent0	branch_search	1	-0.000000
exp063	1.96261557e-16	1.001296	-1.000019	discard	basin boundary u_offset=0.588	agent1	branch_search	0	-1.520844
exp064	3.26644331e-16	1.001296	-1.000019	discard	basin boundary u_offset=0.589	agent1	branch_search	0	-1.520844
exp065	8.81934685e-11	1.002503	1.000218	discard	scipy: u_offset=0.8+0.5cos(2t), seeking oscillatory positive	agent0	branch_search	0	-1.523848
exp066	2.11835551e-14	0.000000	0.000000	discard	scipy at basin boundary u_offset=0.5735	agent0	branch_search	0	-0.000000
exp067	2.57581612e-16	1.001296	-1.000019	discard	basin boundary u_offset=0.5895	agent1	branch_search	0	-1.520844
exp068	1.96261557e-16	1.001296	1.000019	discard	basin boundary u_offset=0.5898	agent1	branch_search	0	-1.520844
exp069	2.08871080e-15	1.001296	-1.000019	discard	basin boundary u_offset=0.5896	agent1	branch_search	0	-1.520844
exp070	3.47776366e-16	1.001296	-1.000019	discard	basin boundary u_offset=0.5897	agent1	branch_search	1	-1.520844
exp071	2.10832785e-15	1.001296	1.000019	discard	basin boundary u_offset=0.58975	agent1	branch_search	1	-1.520844
exp072	5.62802405e-12	1.002503	1.000218	discard	scipy n_nodes=250, tol=1e-11, u=1.0+0.1cos	agent0	solver_param	0	-1.523848
exp073	4.50203803e-15	0.000000	0.000000	discard	Fourier N=4 near trivial branch, u_offset=0.01	agent0	branch_search	0	-0.000000
exp074	1.52391128e-15	1.001296	1.000019	discard	Fourier N=5 for positive branch	agent0	branch_search	0	-1.520844
exp075	5.87830932e-28	0.000000	-0.000000	discard	trivial basin test u_offset=0.1 Fourier N=4	agent1	branch_search	0	0.000000
exp076	2.73184526e-16	1.001296	1.000019	discard	Fourier N=4, phase=pi, anti-phase perturbation	agent0	perturbation	0	-1.520844
exp077	1.99822732e-23	0.000000	0.000000	discard	trivial basin test u_offset=0.4 Fourier N=4	agent1	branch_search	1	-0.000000
exp078	2.57581612e-16	1.001296	-1.000019	discard	trivial basin test u_offset=0.55 Fourier N=4	agent1	branch_search	1	-1.520844
exp079	1.96261557e-16	1.001296	1.000019	discard	Fourier N=4, u_offset=1.0 (closer to solution mean)	agent0	initial_cond	1	-1.520844
exp080	3.62021453e-16	1.001296	1.000019	discard	trivial/nontrivial boundary u_offset=0.475	agent1	branch_search	0	-1.520844
exp081	3.95472498e-16	0.000000	0.000000	discard	basin map u_offset=0.45	agent1	branch_search	0	-0.000000
exp082	2.42370301e-25	0.000000	-0.000000	discard	basin map u_offset=0.46	agent1	branch_search	0	0.000000
exp083	2.06774381e-16	1.001296	-1.000019	discard	basin map u_offset=0.47	agent1	branch_search	0	-1.520844
exp084	2.06774381e-16	1.001296	-1.000019	discard	basin map u_offset=0.465	agent1	branch_search	0	-1.520844
exp085	2.57581612e-16	1.001296	1.000019	discard	basin map u_offset=0.48	agent1	branch_search	0	-1.520844
exp086	2.57581612e-16	1.001296	-1.000019	discard	basin map u_offset=0.49	agent1	branch_search	1	-1.520844
exp087	3.77006140e-16	1.001296	-1.000019	discard	basin map u_offset=0.50	agent1	branch_search	0	-1.520844
exp088	2.57581612e-16	1.001296	-1.000019	discard	basin map u_offset=0.52	agent1	branch_search	0	-1.520844
exp089	4.82040919e-16	1.001296	-1.000019	discard	Fourier N=4, neg branch u=-1.0-0.1cos(t), phase=pi	agent0	initial_cond	0	-1.520844
exp090	5.87830932e-28	0.000000	0.000000	discard	basin map u_offset=-0.1 negative side	agent1	branch_search	0	0.000000
exp091	1.99822732e-23	0.000000	-0.000000	discard	basin map u_offset=-0.4 negative side	agent1	branch_search	1	-0.000000
exp092	2.42370301e-25	0.000000	0.000000	discard	basin map u_offset=-0.46 negative side	agent1	branch_search	0	0.000000
exp093	2.06774381e-16	1.001296	1.000019	discard	basin map u_offset=-0.465 negative side	agent1	branch_search	0	-1.520844
exp094	2.06774381e-16	1.001296	1.000019	discard	basin map u_offset=-0.47 negative side	agent1	branch_search	0	-1.520844
exp095	3.62021453e-16	1.001296	-1.000019	discard	basin map u_offset=-0.475 negative side	agent1	branch_search	0	-1.520844
exp096	2.57581612e-16	1.001296	-1.000019	discard	basin map u_offset=-0.48 negative side	agent1	branch_search	0	-1.520844
exp097	2.57581612e-16	1.001296	1.000019	discard	basin map u_offset=-0.49 negative side	agent1	branch_search	0	-1.520844
exp098	3.77006140e-16	1.001296	1.000019	discard	basin map u_offset=-0.50 negative side	agent1	branch_search	1	-1.520844
exp099	2.57581612e-16	1.001296	1.000019	discard	basin map u_offset=-0.55 negative side	agent1	branch_search	0	-1.520844
exp100	3.47776366e-16	1.001296	1.000019	discard	basin map u_offset=-0.5897 negative side	agent1	branch_search	0	-1.520844
exp101	1.96261557e-16	1.001296	-1.000019	discard	basin map u_offset=-0.5898 negative side	agent1	branch_search	1	-1.520844
exp102	2.02539645e-15	1.001296	-1.000019	discard	basin map u_offset=-0.59 negative side	agent1	branch_search	0	-1.520844
exp103	3.62021453e-16	1.001296	-1.000019	discard	Fourier N=4, neg branch u=-1.0+0.1cos, phase=0	agent0	initial_cond	0	-1.520844
exp104	2.57581612e-16	1.001296	-1.000019	discard	Fourier N=4, neg branch u=-0.9 flat (no perturbation)	agent0	initial_cond	0	-1.520844
exp105	2.57581612e-16	1.001296	-1.000019	discard	Fourier N=4, neg branch u=-1.0 flat	agent0	initial_cond	0	-1.520844
exp106	3.62021453e-16	1.001296	-1.000019	discard	amplitude sensitivity amp=0.0 at u_offset=0.57	agent1	perturbation	0	-1.520844
exp107	2.57581612e-16	1.001296	-1.000019	discard	amplitude sensitivity amp=0.05 at u_offset=0.57	agent1	perturbation	0	-1.520844
exp108	2.57581612e-16	1.001296	-1.000019	discard	amplitude sensitivity amp=0.1 at u_offset=0.57	agent1	perturbation	1	-1.520844
exp109	2.57581612e-16	1.001296	-1.000019	discard	amplitude sensitivity amp=0.15 at u_offset=0.57	agent1	perturbation	0	-1.520844
exp110	4.21048514e-16	1.001296	-1.000019	discard	amplitude sensitivity amp=0.2 at u_offset=0.57	agent1	perturbation	0	-1.520844
exp111	2.06774381e-16	1.001296	-1.000019	discard	amplitude sensitivity amp=0.3 at u_offset=0.57	agent1	perturbation	1	-1.520844
exp112	2.04903081e-16	1.001296	1.000019	discard	amplitude sensitivity amp=0.4 at u_offset=0.57	agent1	perturbation	0	-1.520844
exp113	3.09720388e-15	1.001296	1.000019	discard	amplitude sensitivity amp=0.5 at u_offset=0.57	agent1	perturbation	0	-1.520844
exp114	2.57581612e-16	1.001296	-1.000019	discard	Fourier N=4, neg u=-0.95+0.05cos	agent0	initial_cond	0	-1.520844
exp115	2.57581612e-16	1.001296	-1.000019	discard	boundary search amp=0.0 iter=1 u_offset=0.57500	agent1	branch_search	0	-1.520844
exp116	2.57581612e-16	1.001296	1.000019	discard	boundary search amp=0.0 iter=2 u_offset=0.61250	agent1	branch_search	0	-1.520844
exp117	1.96261557e-16	1.001296	1.000019	discard	boundary search amp=0.0 iter=3 u_offset=0.59375	agent1	branch_search	0	-1.520844
exp118	4.37535640e-16	1.001296	-1.000019	discard	boundary search amp=0.0 iter=4 u_offset=0.58437	agent1	branch_search	0	-1.520844
exp119	1.96261557e-16	1.001296	-1.000019	discard	boundary search amp=0.0 iter=5 u_offset=0.58906	agent1	branch_search	0	-1.520844
exp120	3.62021453e-16	1.001296	1.000019	discard	boundary search amp=0.0 iter=6 u_offset=0.59140	agent1	branch_search	0	-1.520844
exp121	2.06774381e-16	1.001296	1.000019	discard	boundary search amp=0.0 iter=7 u_offset=0.59023	agent1	branch_search	0	-1.520844
exp122	2.57581612e-16	1.001296	-1.000019	discard	boundary search amp=0.0 iter=8 u_offset=0.58964	agent1	branch_search	0	-1.520844
exp123	2.06774381e-16	1.001296	1.000019	discard	boundary search amp=0.1 iter=1 u_offset=0.57500	agent1	branch_search	1	-1.520844
exp124	3.62021453e-16	1.001296	-1.000019	discard	boundary search amp=0.1 iter=2 u_offset=0.53750	agent1	branch_search	0	-1.520844
exp125	2.06774381e-16	1.001296	-1.000019	discard	boundary search amp=0.1 iter=3 u_offset=0.55625	agent1	branch_search	0	-1.520844
exp126	2.06774381e-16	1.001296	-1.000019	discard	boundary search amp=0.1 iter=4 u_offset=0.56563	agent1	branch_search	1	-1.520844
exp127	1.86448479e-16	1.001296	-1.000019	discard	boundary search amp=0.1 iter=5 u_offset=0.57031	agent1	branch_search	0	-1.520844
exp128	2.57581612e-16	1.001296	-1.000019	discard	boundary search amp=0.1 iter=6 u_offset=0.57265	agent1	branch_search	0	-1.520844
exp129	1.88564362e-15	1.001296	1.000019	discard	boundary search amp=0.1 iter=7 u_offset=0.57383	agent1	branch_search	1	-1.520844
exp130	1.43180171e-15	1.001296	-1.000019	discard	boundary search amp=0.1 iter=8 u_offset=0.57324	agent1	branch_search	0	-1.520844
exp131	2.06774381e-16	1.001296	-1.000019	discard	boundary search amp=0.2 iter=1 u_offset=0.57500	agent1	branch_search	0	-1.520844
exp132	3.52178773e-16	1.001296	1.000019	discard	boundary search amp=0.2 iter=2 u_offset=0.61250	agent1	branch_search	1	-1.520844
exp133	2.10451058e-15	1.001296	1.000019	discard	boundary search amp=0.2 iter=3 u_offset=0.59375	agent1	branch_search	0	-1.520844
exp134	2.06774381e-16	1.001296	1.000019	discard	boundary search amp=0.2 iter=4 u_offset=0.58437	agent1	branch_search	0	-1.520844
exp135	1.96261557e-16	1.001296	-1.000019	discard	boundary search amp=0.2 iter=5 u_offset=0.57969	agent1	branch_search	1	-1.520844
exp136	2.04903081e-16	1.001296	1.000019	discard	boundary search amp=0.2 iter=6 u_offset=0.58203	agent1	branch_search	0	-1.520844
exp137	1.67113576e-15	1.001296	1.000019	discard	boundary search amp=0.2 iter=7 u_offset=0.58086	agent1	branch_search	0	-1.520844
exp138	1.96261557e-16	1.001296	-1.000019	discard	boundary search amp=0.2 iter=8 u_offset=0.58028	agent1	branch_search	1	-1.520844
exp139	3.62021453e-16	1.001296	-1.000019	discard	boundary search amp=0.3 iter=1 u_offset=0.57500	agent1	branch_search	0	-1.520844
exp140	1.86448479e-16	1.001296	1.000019	discard	boundary search amp=0.3 iter=2 u_offset=0.61250	agent1	branch_search	0	-1.520844
exp141	3.66059373e-15	1.001296	-1.000019	discard	boundary search amp=0.3 iter=3 u_offset=0.59375	agent1	branch_search	1	-1.520844
exp142	4.51081477e-16	1.001296	-1.000019	discard	boundary search amp=0.3 iter=4 u_offset=0.60313	agent1	branch_search	0	-1.520844
exp143	4.37535640e-16	1.001296	1.000019	discard	boundary search amp=0.3 iter=5 u_offset=0.60781	agent1	branch_search	0	-1.520844
exp144	2.01512456e-15	1.001296	-1.000019	discard	boundary search amp=0.3 iter=6 u_offset=0.60547	agent1	branch_search	1	-1.520844
exp145	2.06774381e-16	1.001296	-1.000019	discard	boundary search amp=0.3 iter=7 u_offset=0.60664	agent1	branch_search	0	-1.520844
exp146	4.96867443e-15	1.001296	-1.000019	discard	boundary search amp=0.3 iter=8 u_offset=0.60722	agent1	branch_search	0	-1.520844
exp147	1.88564362e-15	1.001296	1.000019	discard	boundary search amp=0.4 iter=1 u_offset=0.57500	agent1	branch_search	1	-1.520844
exp148	1.88564362e-15	1.001296	-1.000019	discard	boundary search amp=0.4 iter=2 u_offset=0.53750	agent1	branch_search	0	-1.520844
exp149	4.37535640e-16	1.001296	1.000019	discard	boundary search amp=0.4 iter=3 u_offset=0.55625	agent1	branch_search	0	-1.520844
exp150	3.62021453e-16	1.001296	-1.000019	discard	boundary search amp=0.4 iter=4 u_offset=0.54688	agent1	branch_search	1	-1.520844
exp151	2.06774381e-16	1.001296	-1.000019	discard	boundary search amp=0.4 iter=5 u_offset=0.55157	agent1	branch_search	0	-1.520844
exp152	2.73184526e-16	1.001296	1.000019	discard	boundary search amp=0.4 iter=6 u_offset=0.55391	agent1	branch_search	0	-1.520844
exp153	3.52178773e-16	1.001296	1.000019	discard	boundary search amp=0.4 iter=7 u_offset=0.55274	agent1	branch_search	1	-1.520844
exp154	2.06774381e-16	1.001296	1.000019	discard	boundary search amp=0.4 iter=8 u_offset=0.55215	agent1	branch_search	0	-1.520844
exp155	1.88564362e-15	1.001296	1.000019	discard	boundary search amp=0.5 iter=1 u_offset=0.57500	agent1	branch_search	0	-1.520844
exp156	3.62021453e-16	1.001296	1.000019	discard	boundary search amp=0.5 iter=2 u_offset=0.53750	agent1	branch_search	1	-1.520844
exp157	1.97672026e-15	1.001296	1.000019	discard	boundary search amp=0.5 iter=3 u_offset=0.51875	agent1	branch_search	0	-1.520844
exp158	1.94566387e-15	1.001296	1.000019	discard	boundary search amp=0.5 iter=4 u_offset=0.50938	agent1	branch_search	0	-1.520844
exp159	3.50616754e-15	1.001296	1.000019	discard	boundary search amp=0.5 iter=5 u_offset=0.50469	agent1	branch_search	1	-1.520844
