exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	2.94815390e-21	0.000000	-0.000000	keep	Fourier spectral method, trivial branch u_offset=0.0	agent0	initial_cond	0	-0.000000
exp002	2.94815390e-21	0.000000	-0.000000	discard	Trivial branch with Fourier solver, u_offset=0.0, 64 modes	agent1	initial_cond	0	-0.000000
exp003	2.94815390e-21	0.000000	-0.000000	discard	trivial branch u_offset=0 fourier method 64 modes	agent2	initial_cond	1	-0.000000
exp004	crash	0	0	crash	Positive branch: u_offset=1.0, fourier spectral	agent3	initial_cond	1	0
exp005	crash	0	0	crash	Positive branch with Fourier solver, u_offset=0.9, 64 modes	agent1	initial_cond	0	0
exp006	crash	0	0	crash	Fourier spectral, positive branch u_offset=0.9	agent0	initial_cond	0	0
exp007	crash	0	0	crash	Fourier spectral, positive branch, 200 Newton iterations	agent0	initial_cond	1	0
exp008	8.81934684e-11	1.002503	1.000218	discard	positive branch u_offset=0.9 scipy tol=1e-10 200nodes	agent2	initial_cond	0	-1.523848
exp009	crash	0	0	crash	Positive branch, u_offset=0.9, 64 modes, 200 maxiter	agent1	initial_cond	0	0
exp010	crash	0	0	crash	Positive branch: u_offset=1.0, maxiter=200	agent3	initial_cond	0	0
exp011	7.81886831e-13	1.001296	1.000019	discard	Fourier spectral, positive branch, newton_tol=1e-11	agent0	initial_cond	0	-1.520844
exp012	crash	0	0	crash	positive branch u_offset=1.0 amp=0.05 fourier 64modes 100iter	agent2	initial_cond	0	0
exp013	crash	0	0	crash	Positive branch, u_offset=1.0, 128 modes, 200 maxiter	agent1	initial_cond	0	0
exp014	5.49919191e-13	1.001296	-1.000019	discard	Fourier spectral, negative branch u_offset=-0.9	agent0	initial_cond	0	-1.520844
exp015	crash	0	0	crash	Positive branch: u_offset=1.0, fourier_modes=128	agent3	initial_cond	1	0
exp016	1.61088128e-12	1.001296	-1.000019	discard	Fourier spectral, negative branch, 128 modes	agent0	initial_cond	0	-1.520844
exp017	1.55300846e-12	1.001296	1.000019	discard	Positive branch, u_offset=1.0, 128 modes, newton_tol=1e-10	agent1	initial_cond	0	-1.520844
exp018	crash	0	0	crash	Positive branch: scipy, u_offset=1.0, n_nodes=200, tol=1e-12	agent3	initial_cond	0	0
exp019	crash	0	0	crash	positive branch perturbation guess u=1+0.1cos 128modes 200iter	agent2	initial_cond	0	0
exp020	2.37691642e-13	1.001296	1.000019	discard	Fourier 32 modes, positive branch, better initial guess u=1+0.15cos	agent0	initial_cond	0	-1.520844
exp021	9.91095901e-13	1.001296	-1.000019	discard	Negative branch, u_offset=-1.0, 128 modes, newton_tol=1e-10	agent1	initial_cond	0	-1.520844
exp022	5.80184505e-13	1.001296	1.000019	discard	Fourier 64 modes, positive branch, better IC u=1+0.15cos	agent0	initial_cond	0	-1.520844
exp023	6.32260057e-12	1.001296	1.000019	discard	Positive branch, u_offset=1.0, 256 modes	agent1	initial_cond	0	-1.520844
exp024	9.86022249e-13	1.001296	1.000019	discard	Positive branch: fourier u_offset=1.0, newton_tol=1e-10	agent3	initial_cond	1	-1.520844
exp025	crash	0	0	crash	Fourier 16 modes, positive branch, newton_tol=1e-14	agent0	initial_cond	0	0
exp026	1.55300846e-12	1.001296	1.000019	discard	positive branch fourier relaxed tol=1e-11 128modes	agent2	initial_cond	0	-1.520844
exp027	1.28591051e-14	1.001296	1.000019	discard	Fourier 16 modes, positive branch, newton_tol=5e-14	agent0	initial_cond	1	-1.520844
exp028	1.89879946e-12	1.001296	1.000019	discard	Positive branch, u_offset=1.0, amp=0.15, 128 modes	agent1	initial_cond	0	-1.520844
exp029	1.40095684e-14	1.001296	-1.000019	discard	Fourier 16 modes, negative branch, u_offset=-1.0	agent0	initial_cond	0	-1.520844
exp030	crash	0	0	crash	Positive branch: fourier_modes=32, u_offset=1.0, newton_tol=1e-14	agent3	initial_cond	0	0
exp031	3.70692259e-15	1.001296	-1.000019	discard	Fourier 8 modes, negative branch	agent0	initial_cond	0	-1.520844
exp032	crash	0	0	crash	positive branch fourier 256modes tol=1e-14	agent2	initial_cond	2	0
exp033	2.06774381e-16	1.001296	-1.000019	discard	Fourier 4 modes, negative branch	agent0	initial_cond	0	-1.520844
exp034	crash	0	0	crash	Positive branch: fourier_modes=16, u_offset=1.0	agent3	initial_cond	0	0
exp035	4.37471443e-16	1.001296	-1.000019	discard	Fourier 3 modes, negative branch	agent0	initial_cond	0	-1.520844
