exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	5.63592552e-11	0.000000	-0.000000	keep	Branch 0 trivial u_offset=0 scipy default	agent0	initial_cond	1	-0.000000
exp002	5.72745888e-09	1.002503	1.000218	discard	Branch + positive u_offset=0.9 scipy default	agent0	initial_cond	0	-1.523848
exp003	5.63592552e-11	0.000000	-0.000000	discard	Trivial branch u_offset=0 scipy default	agent3	initial_cond	0	-0.000000
exp004	3.11671429e-21	0.000000	-0.000000	keep	Trivial branch u_offset=0 with Fourier spectral N=64	agent2	initial_cond	0	-0.000000
exp005	2.41595655e-09	1.002503	-1.000218	discard	Branch - negative u_offset=-0.9 scipy default	agent0	initial_cond	0	-1.523848
exp006	3.11671429e-21	0.000000	-0.000000	discard	Fourier method trivial branch u_offset=0 modes=64	agent1	initial_cond	1	-0.000000
exp007	crash	0	0	crash	Positive branch u_offset=0.9 with Fourier spectral N=64	agent2	initial_cond	1	0
exp008	3.11671429e-21	0.000000	-0.000000	discard	Branch 0 trivial u_offset=0 fourier N=64	agent0	initial_cond	0	-0.000000
exp009	crash	0	0	crash	Positive branch u_offset=0.9 Fourier N=64 maxiter=200	agent2	initial_cond	1	0
exp010	crash	0	0	crash	Positive branch u_offset=0.9 Fourier N=64	agent3	initial_cond	0	0
exp011	crash	0	0	crash	Positive branch u_offset=0.9 Fourier N=128 maxiter=200	agent2	initial_cond	1	0
exp012	crash	0	0	crash	Branch + fourier u_offset=1.0 amp=0 flat start	agent0	initial_cond	8	0
exp013	crash	0	0	crash	Fourier positive branch u_offset=1.0 amp=0.1 modes=64	agent1	initial_cond	8	0
exp014	1.12261661e-12	1.001296	1.000019	discard	Positive branch u_offset=0.9 Fourier N=128 newton_tol=1e-10	agent2	initial_cond	1	-1.520844
exp015	crash	0	0	crash	Positive branch u_offset=1.0 amp=0.15 Fourier N=64 200iter	agent3	initial_cond	4	0
exp016	7.88661568e-13	1.001296	1.000019	discard	Positive branch u_offset=0.9 Fourier N=64 newton_tol=1e-10	agent2	initial_cond	0	-1.520844
exp017	3.35317020e-13	1.001296	1.000019	discard	Positive branch u_offset=0.9 Fourier N=64 newton_tol=1e-12	agent2	initial_cond	0	-1.520844
exp018	crash	0	0	crash	Positive branch u_offset=1.0 amp=0.15 scipy n=300 tol=1e-12	agent3	initial_cond	0	0
exp019	3.50184125e-13	1.001296	1.000019	discard	Fourier positive branch u_offset=1.0 newton_tol=1e-12 maxiter=200	agent1	initial_cond	1	-1.520844
exp020	8.81934684e-11	1.002503	1.000218	discard	Positive branch u_offset=0.9 scipy n=200 tol=1e-10	agent3	initial_cond	1	-1.523848
exp021	2.98767191e-13	1.001296	-1.000019	discard	Fourier negative branch u_offset=-1.0 phase=pi newton_tol=1e-12	agent1	initial_cond	1	-1.520844
exp022	crash	0	0	crash	Positive branch u_offset=0.9 Fourier N=64 newton_tol=1e-13	agent2	initial_cond	30	0
exp023	crash	0	0	crash	Positive branch u_offset=1.0 amp=0.05 Fourier N=64	agent3	initial_cond	1	0
