exp_id	residual	solution_norm	solution_mean	status	description	agent	design	elapsed_s	solution_energy
exp001	5.63592552e-11	0.000000	-0.000000	keep	trivial branch u_offset=0 scipy baseline	agent0	initial_cond	0	-0.000000
exp002	5.63592552e-11	0.000000	-0.000000	discard	trivial branch u_offset=0 scipy default	agent2	initial_cond	0	-0.000000
exp003	2.94815390e-21	0.000000	-0.000000	keep	trivial branch fourier method 64 modes	agent0	solver	1	-0.000000
exp004	5.31603487e-13	0.000000	-0.000000	discard	Branch 0: u_offset=0 amp=0.01 tol=1e-10 nodes=200	agent1	initial_cond	0	-0.000000
exp005	crash	0	0	crash	positive branch u_offset=0.9 fourier 64 modes	agent0	initial_cond	0	0
exp006	8.81934684e-11	1.002503	1.000218	discard	Branch +: u_offset=0.9 amp=0.1 tol=1e-10 nodes=200	agent1	initial_cond	0	-1.523848
exp007	8.81934685e-11	1.002503	-1.000218	discard	Branch -: u_offset=-0.9 amp=0.1 tol=1e-10 nodes=200	agent1	initial_cond	1	-1.523848
exp008	2.94815390e-21	0.000000	-0.000000	discard	Trivial branch u_offset=0 with Fourier spectral method, 64 modes	agent3	initial_cond	0	-0.000000
exp009	crash	0	0	crash	positive branch u_offset=1.0 fourier 64 modes	agent2	initial_cond	0	0
exp010	crash	0	0	crash	positive branch u_offset=0.9 fourier 64 modes maxiter=200	agent0	initial_cond	0	0
exp011	7.72893078e-25	0.000000	-0.000000	keep	Branch 0: Fourier method 64 modes u_offset=0 amp=0.01	agent1	initial_cond	1	-0.000000
exp012	3.50184125e-13	1.001296	1.000019	discard	positive branch u_offset=1.0 fourier 64 modes newton_tol=1e-12 maxiter=100	agent2	initial_cond	1	-1.520844
exp013	crash	0	0	crash	Branch +: Fourier 64 modes u_offset=0.9 amp=0.1	agent1	initial_cond	0	0
exp014	crash	0	0	crash	positive branch u_offset=0.9 fourier 128 modes maxiter=200	agent0	solver	0	0
exp015	3.40720801e-13	1.001296	-1.000019	discard	negative branch u_offset=-1.0 fourier 64 modes newton_tol=1e-12 maxiter=100	agent2	initial_cond	0	-1.520844
exp016	crash	0	0	crash	Branch +: Fourier 64 modes u_offset=1.0 amp=0.15	agent1	initial_cond	0	0
exp017	crash	0	0	crash	positive branch u_offset=1.0 fourier 128 modes newton_tol=1e-12 maxiter=100	agent2	solver	0	0
exp018	crash	0	0	crash	Branch +: Fourier 64 modes u_offset=1.0 amp=0.15 maxiter=200	agent1	initial_cond	1	0
exp019	8.81934684e-11	1.002503	1.000218	discard	positive branch u_offset=0.9 scipy tol=1e-10 nodes=200	agent0	initial_cond	1	-1.523848
exp020	crash	0	0	crash	Positive branch u_offset=1.0 amplitude=0 Fourier 64 modes	agent3	initial_cond	0	0
exp021	7.81886831e-13	1.001296	1.000019	discard	positive branch fourier 64 modes newton_tol=1e-10	agent0	solver	1	-1.520844
exp022	crash	0	0	crash	positive branch u_offset=1.0 amp=0.15 fourier 64 newton_tol=1e-14 maxiter=200	agent2	initial_cond	1	0
exp023	5.80184505e-13	1.001296	1.000019	discard	Branch +: Fourier 64 modes u_offset=1.0 amp=0.15 newton_tol=1e-11	agent1	initial_cond	0	-1.520844
exp024	crash	0	0	crash	Positive branch u_offset=1.0 amp=0 Fourier 64 modes 200 iterations	agent3	initial_cond	0	0
exp025	2.57292842e-12	1.001296	1.000019	discard	positive branch fourier 128 modes newton_tol=1e-10	agent0	solver	0	-1.520844
exp026	1.89879946e-12	1.001296	1.000019	discard	Branch +: Fourier 128 modes u_offset=1.0 amp=0.15 newton_tol=1e-11	agent1	initial_cond	0	-1.520844
exp027	5.78017639e-13	1.001296	1.000019	discard	positive branch fourier 32 modes newton_tol=1e-10	agent0	solver	0	-1.520844
exp028	crash	0	0	crash	Positive branch u_offset=1.0 amp=0.15 Fourier 128 modes 200 iter	agent3	initial_cond	0	0
exp029	crash	0	0	crash	Branch +: Fourier 32 modes u_offset=1.0 amp=0.15 newton_tol=1e-14	agent1	initial_cond	0	0
exp030	5.49919191e-13	1.001296	-1.000019	discard	negative branch u_offset=-0.9 fourier 64 modes	agent0	initial_cond	0	-1.520844
exp031	3.50184125e-13	1.001296	1.000019	discard	Branch +: Fourier 64 modes u_offset=1.0 amp=0.1 newton_tol=1e-12	agent1	initial_cond	0	-1.520844
exp032	1.58828250e-13	1.001296	1.000019	discard	positive branch u_offset=1.0 amp=0.1 fourier 32 modes	agent2	solver	0	-1.520844
exp033	3.14121949e-14	1.001296	1.000019	discard	positive branch u_offset=1.0 amp=0.1 fourier 16 modes	agent2	solver	0	-1.520844
exp034	3.40720801e-13	1.001296	-1.000019	discard	Branch -: Fourier 64 modes u_offset=-1.0 amp=0.1 newton_tol=1e-12	agent1	initial_cond	0	-1.520844
exp035	5.60649591e-13	1.001296	1.000019	discard	positive branch u_offset=1.0 amp=0 fourier 64	agent0	initial_cond	0	-1.520844
exp036	crash	0	0	crash	Positive branch u_offset=1.0 amp=0.1 mode=1 Fourier 64 modes exact perturbation	agent3	initial_cond	0	0
exp037	1.02323070e-14	1.001296	1.000019	discard	positive branch u_offset=1.0 amp=0.1 fourier 8 modes	agent2	solver	0	-1.520844
exp038	3.50184125e-13	1.001296	1.000019	discard	Positive branch u_offset=1.0 amp=0.1 Fourier 64 modes newton_tol=1e-12	agent3	initial_cond	1	-1.520844
exp039	8.69901540e-15	1.001296	1.000019	discard	positive branch u_offset=1.0 amp=0.1 fourier 4 modes	agent2	solver	1	-1.520844
exp040	1.96261557e-16	1.001296	1.000019	discard	positive branch u_offset=1.0 amp=0.1 fourier 4 modes newton_tol=1e-15	agent2	solver	0	-1.520844
exp041	3.40720801e-13	1.001296	-1.000019	discard	Negative branch u_offset=-1.0 amp=0.1 Fourier 64 modes newton_tol=1e-12	agent3	initial_cond	0	-1.520844
exp042	crash	0	0	crash	positive branch fourier 4 modes newton_tol=1e-16	agent2	solver	0	0
exp043	3.15209470e-14	1.001296	1.000019	discard	positive branch fourier 16 modes u_offset=1.0 amp=0.15	agent0	solver	0	-1.520844
